Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
BRAZIL,DECAFFEINATED,66,60,Cerrado Doce Diamantina NY2 16up DCM Decaffeinated,DCM decaf,,"nougat, roasted hazelnut, silky",Hamb,4.25,5.13,,,2021-04-28
BRAZIL,DECAFFEINATED,147,60,Cerrado Doce Diamantina NY2 16up CO² Decaffeinated,CO² decaf,,"nougat, roasted hazelnut, silky",Hamb,4.79,5.79,,,2021-04-28
BRAZIL,ARABICA SPOT,1,59,Sitio Serra Negra NY2 16up natural Lot #187,natural,,"stonefruit, papaya, jasmine",Hamb,4.96,6.0,Factsheet,,2021-04-28
BRAZIL,ARABICA SPOT,26,60,Fazendas Dutra NY2/3 14/16 s.s. fine cup Organic,natural,ORG,"molasses, caramel, milk chocolate",Hamb,5.49,6.63,,,2021-04-28
COLOMBIA,ARABICA SPOT,4,5,Las Margaritas Geisha Hybrid double fermentation,hybrid,,"blackberry, Jasmine, lemongrass",Hamb,39.42,47.66,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,154,70,Excelso EP Rainforest Alliance,washed,RFA,"tropical, nuts, nougat, juicy",Hamb,4.28,5.18,,,2021-04-28
COLOMBIA,ARABICA SPOT,330,70,Supremo EP Screen 17 Finca La Secreta,washed,,"mirabelle, papaya, herbal",Hamb,4.39,5.31,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,461,70,Supremo EP Screen 17 Huila 'Rafael',washed,,"chocolate, tropical, stone fruit",Hamb,4.41,5.33,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,220,70,Colombia Excelso EP Antioquia,washed,,"chocolate, tropical, stone fruit",Hamb,4.41,5.33,,,2021-04-28
COLOMBIA,ARABICA SPOT,88,70,Excelso EP Palermo,washed,,"peach, cream, tropical fruits",Hamb,4.45,5.37,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,150,70,Hacienda La Claudina,washed,,"tropical, stone fruit, choc",Hamb,4.6,5.56,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,140,70,Excelso EP,washed,ORG,"tropical fruits, caramel",Hamb,4.74,5.73,,,2021-04-28
COLOMBIA,ARABICA SPOT,1,10,Las Margaritas Pacamara X.O.,natural,,"plum, dark chocolate, whisky",Hamb,44.89,54.28,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,6,70,Rio Blanco Organic,washed,ORG,"melon, mango, almond",Hamb,5.32,6.44,Factsheet,,2021-04-28
COLOMBIA,DECAFFEINATED,16,60,Colombia Supremo Huila DCM Decaffeinated,DCM decaf,,"dark chocolate, almond",Hamb,5.36,6.48,,,2021-04-28
COLOMBIA,DECAFFEINATED,25,60,Colombia Supremo Huila CO² Decaffeinated,CO² decaf,,"milk chocolate, floral, almond",Hamb,5.93,7.16,,,2021-04-28
COLOMBIA,ARABICA SPOT,2,5,Las Margaritas Geisha honey,honey,,"cherry, jasmine, rum",Hamb,54.01,65.3,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,10,10,Cerro Azul Geisha natural,natural,,"jasmine, cantaloupe, peach",Hamb,57.66,69.71,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,2,35,Hacienda La Claudina natural,natural,,,Hamb,6.05,7.32,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,2,35,Hacienda La Claudina anaerobic,natural,,,Hamb,6.05,7.32,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,4,10,Las Margaritas Sudan Rume natural,natural,,"cardamom, juniper, basil",Hamb,66.78,80.73,Factsheet,,2021-04-28
COLOMBIA,ARABICA SPOT,2,35,Hacienda La Claudina Pink Bourbon,natural,,,Hamb,8.24,9.96,,,2021-04-28
